State,year,production,longitude,latitude
Johor,2018,3113455,103.7635,1.4854
Johor,2019,3142218,103.7635,1.4854
Johor,2020,3157647,103.7635,1.4854
Johor,2021,2851495,103.7635,1.4854
Johor,2022,2969525,103.7635,1.4854
Kedah,2018,265770,100.3686,6.1254
Kedah,2019,239073,100.3686,6.1254
Kedah,2020,218106,100.3686,6.1254
Kedah,2021,236668,100.3686,6.1254
Kedah,2022,237382,100.3686,6.1254
Kelantan,2018,294884,102.2381,5.3280
Kelantan,2019,332438,102.2381,5.3280
Kelantan,2020,338021,102.2381,5.3280
Kelantan,2021,314406,102.2381,5.3280
Kelantan,2022,336061,102.2381,5.3280
Negeri Sembilan,2018,679451,102.2364,2.7250
Negeri Sembilan,2019,698440,102.2364,2.7250
Negeri Sembilan,2020,651310,102.2364,2.7250
Negeri Sembilan,2021,631112,102.2364,2.7250
Negeri Sembilan,2022,675767,102.2364,2.7250
Pahang,2018,2754382,102.7645,3.8167
Pahang,2019,3019773,102.7645,3.8167
Pahang,2020,2998600,102.7645,3.8167
Pahang,2021,2795769,102.7645,3.8167
Pahang,2022,3013127,102.7645,3.8167
Perak,2018,1861067,101.0901,4.5921
Perak,2019,1854050,101.0901,4.5921
Perak,2020,1840646,101.0901,4.5921
Perak,2021,1902382,101.0901,4.5921
Perak,2022,1866423,101.0901,4.5921
Selangor,2018,519504,101.5185,3.0738
Selangor,2019,521837,101.5185,3.0738
Selangor,2020,509535,101.5185,3.0738
Selangor,2021,522372,101.5185,3.0738
Selangor,2022,498904,101.5185,3.0738
Terengganu,2018,486416,103.1370,5.3296
Terengganu,2019,556230,103.1370,5.3296
Terengganu,2020,541371,103.1370,5.3296
Terengganu,2021,429665,103.1370,5.3296
Terengganu,2022,407500,103.1370,5.3296
Sabah,2018,5139356,116.0761,5.9804
Sabah,2019,5037168,116.0761,5.9804
Sabah,2020,4647375,116.0761,5.9804
Sabah,2021,4361537,116.0761,5.9804
Sabah,2022,4286665,116.0761,5.9804
Sarawak,2018,4179339,110.3592,1.5535
Sarawak,2019,4237411,110.3592,1.5535
Sarawak,2020,4054339,110.3592,1.5535
Sarawak,2021,3907820,110.3592,1.5535
Sarawak,2022,4005425,110.3592,1.5535